track_artist,track_album_id,track_album_name,playlist_name,playlist_id,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_id,track_name,track_popularity,release_year,genre
Dead Prez,7gXuElmegVReY7imkb5bf8,Let's Get Free,90s Hiphop / Gangsta Rap,5yGuoOwRQF3o8NVRRlvCj7,gangster rap,0.725,0.737,4,-7.453,1,0.324,0.000633,0.00417,0.109,0.219,77.161,214067,2HoDr1yVksl19omOhc1zWy,Hip-Hop,57,2000,Hip-Hop
Naughty By Nature,4OEP9VlZWOCt1QcOzX0oXF,19 Naughty III,90's Hip Hop Ultimate Collection,4IG024zoaGMurhTFBkMAv9,southern hip hop,0.862,0.642,6,-13.652,0,0.101,0.102,0.0,0.272,0.765,99.201,267267,1SyQ6t9RdRBK0QUCS6a797,Hip Hop Hooray,66,1993,Hip-Hop
Naughty By Nature,6smksVgwxaPFGdSsIloCjo,Anthem Inc.,"Back in the day - R&B, New Jack Swing, Swingbeat, RNB..etc.",3a9y4eeCJRmG9p4YKfqYIx,new jack swing,0.776,0.968,4,-4.25,0,0.0914,0.00147,0.0,0.204,0.667,97.765,250173,1SyQ6t9RdRBK0QUCS6a797,Hip Hop Hooray,66,1993,Hip-Hop
Chamillionaire,31dzB4ULKZfOH71tuaBiR8,The Sound of Revenge,Dr. Q's Prescription Playlist💊,6jAPdgY9XmxC9cgkXAVmVv,post-teen pop,0.788,0.798,8,-4.68,0,0.0997,0.189,0.0,0.3,0.836,143.051,303053,0VUpkue1T9WZF2LtUqJbDY,Hip Hop Police - Main,35,2007,Hip-Hop
Chamillionaire,31dzB4ULKZfOH71tuaBiR8,The Sound of Revenge,90s-2000s Southern Hip Hop / Crunk,5wsWBmQgDtKa8CEg7wTEMi,southern hip hop,0.788,0.798,8,-4.68,0,0.0997,0.189,0.0,0.3,0.836,143.051,303053,0VUpkue1T9WZF2LtUqJbDY,Hip Hop Police - Main,35,2007,Hip-Hop
Chamillionaire,31dzB4ULKZfOH71tuaBiR8,The Sound of Revenge,3rd Coast Classics,1QJ66s6YBZgxMUaVUyrhbo,southern hip hop,0.859,0.773,7,-4.549,1,0.266,0.00382,0.0,0.129,0.691,166.825,274227,0VUpkue1T9WZF2LtUqJbDY,Hip Hop Police - Main,35,2007,Hip-Hop
Hopsin,0gqrRf9j8TdNnn0HngmeRA,Pound Syndrome,HIP&HOP,5DyJsJZOpMJh34WvUrQzMV,southern hip hop,0.734,0.584,6,-6.884,0,0.43,0.148,0.0,0.383,0.759,130.193,96000,4BaFzlfU0xvG19fP4muTVw,Hip Hop Sinister,27,2013,Hip-Hop
Hopsin,16SMGvTZrwtiJ132g69toP,Knock Madness,Urban/Trap - Contemporary RAP,5CK0fshHcik1vWyeCc0zat,urban contemporary,0.843,0.773,6,-6.893,1,0.291,0.251,0.0,0.0899,0.417,90.039,211573,4BaFzlfU0xvG19fP4muTVw,Hip Hop Sinister,27,2013,Hip-Hop
Hopsin,3IbO0lpV2lzQ5QwOsjFNLk,Ill Mind Of Hopsin 8 - Single,Urban/Trap - Contemporary RAP,5CK0fshHcik1vWyeCc0zat,urban contemporary,0.76,0.784,5,-4.87,0,0.331,0.397,0.0,0.052,0.708,126.941,390005,4BaFzlfU0xvG19fP4muTVw,Hip Hop Sinister,27,2013,Hip-Hop
Lupe Fiasco,2utMSPHiSIHEg2vb9awgDi,DROGAS Light,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",3jPkaExIWXQWklcmmF5180,southern hip hop,0.79,0.762,6,-5.704,0,0.243,0.0418,0.0,0.087,0.96,75.549,274910,6N3oYlfZ2RPdjMYdHCRmFS,Hip-Hop Saved My Life (feat. Nikki Jean),48,2007,Hip-Hop
