track_id,track_name,track_artist,track_popularity,release_year,genre
6zavXfYKs1cNKFStNX8Jft,Top Ten Lists,Foamy The Squirrel,0,2021,Top Lists
3burvexf0kalLneXkfJeEC,Songs Of Top Hits List,Todays Top Hits,9,2023,Top Lists
1AD41gkaiTRzj3Wrue1o1V,Top Ten Lists Of Everything,The Dyslexic Carp,0,2024,Top Lists
23yn3HhOF4K5NLre3prCYX,Top Hits List,Todays Top Hits Instrumentals,11,2023,Top Lists
7ALMJGmqkXNUbfbW4bOAZL,Top Ten Lists,The Dyslexic Carp,0,2024,Top Lists
2dqjk8AmosqLig5qsZB9k3,Top Hits,Todays Top Hits,26,2022,Top Lists
0YbrUrp2496FvrEdFvz91j,Top 10 Secret Top 10 Lists,Deejayeetee,0,2017,Top Lists
4Ta1fxlguEfCUbIR6C3W4Y,Top Hits Playlist,Todays Top Hits,16,2022,Top Lists
6NsAq9bf8KgILnw8BjK3bj,Roy's Top 10 Zoo Animals,The Dan Lebatard Show,0,2012,Top Lists
3aZZdx5aaBYQQpRaNCW12X,Top Hits List,Todays Top Hits,5,2023,Top Lists
4ndxPujE12svuCs5Ioadf8,Roy's Top 10 TV Show Tweaks,The Dan Lebatard Show,0,2012,Top Lists
0z0OfbzGBPZO2L7pe1G8oO,Top 10 Hits,Todays Top Hits,18,2023,Top Lists
55midsRqIZkMZKzrBuN3lV,Roy's Top 10 Athlete Owned Businesses,The Dan Lebatard Show,0,2012,Top Lists
1Vpbnc7qBwjAhFgnZEl4Z0,Top Hits List,Todays Top Hits,6,2023,Top Lists
1oRXashzb7X3G6E502BPrS,Roy's Top 10 Game Shows,The Dan Lebatard Show,0,2012,Top Lists
4qUITYSh31gzfLPNa0Tkgk,Playlist Of Top Hits,Todays Top Hits,7,2023,Top Lists
5RczDraNdJb9ssuEpFlBVi,Roy's Top 10 Ways to Fix the Bp Oil Spill,The Dan Lebatard Show,0,2012,Top Lists
697qN3bccKaHfAxgqhx95k,Playlist Of Top Hits 2023,Todays Top Hits,6,2023,Top Lists
7o7bAuTeZHBfMGr09pkEkS,Roy's Top 10 Steakhouses,The Dan Lebatard Show,0,2012,Top Lists
76PisfmSHWNZqVsXVeA2nD,Playlist Of Top Hits,Todays Top Hits Instrumentals,12,2023,Top Lists
3twGlXknMWhTkBlvOaZIea,Roy's Top 10 Rapper Baseball Players,The Dan Lebatard Show,0,2012,Top Lists
1p42Hrie0PdmuIbK1xSR1S,Top Hits Smashing Beats,Todays Top Hits,20,2023,Top Lists
5LIWtjHWfjwJq8JjOr0G0o,Roy's Top 10 Movies,The Dan Lebatard Show,0,2012,Top Lists
48wyG89wxfHXz3IosJzKru,Todays Top Hit Songs,Clean Top Hits Playlist,7,2023,Top Lists
1mVrvnhsMqIFn5HRFDGETW,Roy's Top 10 Menu Items,The Dan Lebatard Show,0,2012,Top Lists
1sFGtoxvVQwIBesClgX4uu,Todays Top Hit Songs Playlist,Todays Top Hits,8,2023,Top Lists
5YYUjhkq7YEwEep3lB17Nx,Roy's Top 10 Names for the Heat Traveling Band,The Dan Lebatard Show,0,2012,Top Lists
1MtMaAhkJsJVNzcI5WCkca,Songs Of Top Hits List,Todays Top Hits,5,2023,Top Lists
14kTf4AbTaCWrYeXnWRJzn,Roy's Top 10 TV Shows,The Dan Lebatard Show,0,2012,Top Lists
6gLro3xYjVEzZ0QPMiNXAT,Top Hits Music Mix,Todays Top Hits,15,2023,Top Lists
2YGd9dUPWFua5C0FpLiG6L,Roy's Top 10 Board Games,The Dan Lebatard Show,0,2012,Top Lists
5KVF8t0cRZ16UZBqcy6CtM,Todays Top Hits,Todays Top Hits,9,2023,Top Lists
28kG2lufnvTeuy8rUxKUxu,Roy' Top 10 Books,The Dan Lebatard Show,0,2012,Top Lists
0C0KOeHfZnDEcuaw15VGQq,Upbeat Playlist Of Top Hits,Todays Top Hits Instrumentals,11,2023,Top Lists
2iabEAWcy8MW66am4mAQv2,Roy's Top 10 Concession Items,The Dan Lebatard Show,0,2012,Top Lists
7915O3MbD6Vy2HDb0tBMdo,Songs Of Top Hits List,Clean Top Hits Playlist,1,2023,Top Lists
0MVWHvNQ781WT7zHyw4NfP,Roy's Top 10 Flea Market Movies,The Dan Lebatard Show,0,2012,Top Lists
6l7xO8c1Aytn1IW3qNNrNv,Todays Top Hit Songs Playlist,Todays Top Hits,7,2023,Top Lists
1btczqGnQRCRkHjKcXFbH8,Roy's Top 10 Valentine's Gifts,The Dan Lebatard Show,0,2012,Top Lists
5FOhsYMbvjQPKu90eZRXQY,Best Upbeat Top Hits,Todays Top Hits,8,2023,Top Lists
0BkLZ1OgyFI1sSKCR91bYT,Roy's Top 10 Weather,The Dan Lebatard Show,0,2012,Top Lists
4CPWKeQhPQgjvJzxO5Byo8,Todays Best Music,Todays Top Hits,8,2023,Top Lists
72P8sDqphaaH6dZF8qVrxP,Roy's Top 10 X-Mas Carols & Stories,The Dan Lebatard Show,0,2012,Top Lists
0LPAgW4MwI0mM8PjCv53ur,Todays Top Hit Songs,Todays Top Hits,8,2023,Top Lists
4fYEOQymvCkaiOMsMe5Rhr,Stugotz' Top Ten!,The Dan Lebatard Show,0,2012,Top Lists
7eJAC480YJVNcd2Hzs6ZgI,Top Hits List,Clean Top Hits Playlist,0,2023,Top Lists
3Wujd19Zu3c8RJ3F9AxWcP,Roy's Top 10 2's,The Dan Lebatard Show,0,2012,Top Lists
5ObITM5va0s1wqH3MRoFjG,Todays Top Hit Songs,Todays Top Hits,8,2023,Top Lists
6qm0aWLYurdNm8jxwDzpW8,Roy's Top 10 Things from Outer Space,The Dan Lebatard Show,0,2012,Top Lists
29kwXvqv2gnWfpbWDJlom8,Top Hits Music Radio Mix,Todays Top Hits,16,2023,Top Lists
2HoDr1yVksl19omOhc1zWy,Hip-Hop,Dead Prez,57,2000,Hip-Hop
1SyQ6t9RdRBK0QUCS6a797,Hip Hop Hooray,Naughty By Nature,66,1993,Hip-Hop
0VUpkue1T9WZF2LtUqJbDY,Hip Hop Police - Main,Chamillionaire,35,2007,Hip-Hop
23FMZRrUJKHdtXuxDAuhRA,Hip-Hop,Freddy Rugga,24,2016,Hip-Hop
4BaFzlfU0xvG19fP4muTVw,Hip Hop Sinister,Hopsin,27,2013,Hip-Hop
10TGbnysIWaAtFRnQlagSB,Hip-Hop,PaceWon & Mr. Green,27,2008,Hip-Hop
6N3oYlfZ2RPdjMYdHCRmFS,Hip-Hop Saved My Life (feat. Nikki Jean),Lupe Fiasco,48,2007,Hip-Hop
0rzSU1pxAyRyrrog5rKA2q,Hip Hip Hooray - Hippopotamus,Mary Rice Hopkins,27,1997,Hip-Hop
1rESBfVFxLR7wIQjUIQ0KH,Hip-Hop,Dead Prez,21,2019,Hip-Hop
2COUv7cQdT1B3rDZtC5rUE,Hip-Hop 1208 Beat,Dj Sonido Music,44,2024,Hip-Hop
6Zg6LBZv4vORQoM0Qoqidk,HipHop Legend (feat. JAG & Jon Connor),Chris Webby,28,2018,Hip-Hop
0iULSLlbdVMvBs4HzIaLi9,Hip-Hop,"Royce Da 5'9""",16,2022,Hip-Hop
5fvRIoZqkU2DtU0qrjiikx,Hip Hoppin,Brenton Wood,0,2025,Hip-Hop
05ZCB3zzpyYBivfLwaTde4,Go Go Go Who's Next?,Hip Hop Harry,30,2020,Hip-Hop
1rS5cQSjEShHUnfyH3vg99,Hip-Hop,PaceWon & Mr. Green,19,2008,Hip-Hop
0E0afAlgR3ADr1rg1uaz5P,Hip-Hop Love Type Beat,Dj Sonido Music,44,2024,Hip-Hop
0sw7qGpcc13LxX8PlnDbsD,Hop Hop,vally.exe,28,2023,Hip-Hop
6sSfIRmWvVt1XXH36n7xGA,Hip-Hop,Left Lane Cruiser,8,2011,Hip-Hop
4gQdwwPXSXnDkUh4jYqLoC,Hip Hop,Mos Def,52,1999,Hip-Hop
